,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
0,Kuch Din,Kaabil,Jubin Nautiyal,Rajesh Roshan,Manoj Muntashir, ,"Kuch din se mujhe Teri aadat ho gayi hai x (2) Kuch din se meri Tu zarurat ho gayi hai Tere labon se main hasun Teri lehron mein bahun Mujhko kasam lage agar Tere bina main jiyun Kuch din se mujhe Teri aadat ho gayi hai Kuch din se meri Tu zarurat ho gayi hai Tere labon se main hasun Teri lehron mein bahun Mujhko kasam lage agar Tere bina main jiyun Teri hawa mein hi udoon Main aaj-kal, main aaj-kal Tere kadam se hi chaloon Main aaj-kal, main aaj-kal Kuch bhi nahin mujhmein mera Jo bhi hai woh hai tera Kuch din se mujhe Teri aadat ho gayi hai Aksar ataa pata mera Rehta nahin, rehta nahin Koi nishan mera kahin Milta nahin, milta nahin Dhoondha gaya jab bhi mujhe Teri gali mein mila Kuch din se mujhe Teri aadat ho gayi hai Kuch din se meri Tu zarurat ho gayi hai Tere labon se main hasun Teri lehron mein bahun Mujhko kasam lage agar Tere bina main jiyun"
1,Kisi Se Pyar Ho Jaye,Kaabil,Jubin Nautiyal,Gourov-Roshin,Kumaar, ,Zara zara si neend bhi Ajnabi si ho gayi Zara zara chain se Dushmani si ho gayi Tum mile kho gaya Hai khudka hi pata Kya karun kya nahin Kuchh bas mein na raha Samjhun kaise koi samjhaye Dil kya kare jab kisi se Kisiko pyar ho jaye Jaane kahaan kab kisiko Kisi se pyar ho jaye Oonchi oonchi deevaron si Is duniya ki rasmein Na kuchh tere bass mein jaana Na kuchh mere bass mein Tum mile kho gaya Hai khudka hi pata Kya karun kya nahin Kuchh bas mein na raha Samjhun kaise koi samjhaye Dil kya kare jab kisi se Kisiko pyar ho jaye Jaane kahaan kab kisiko Kisi se pyar ho jaye Jaise parvat pe ghata jhukti hai Jaise sagar se lehar uthti hai Aise kisi chehre pe nigah rukti hai Rok nahin sakti nazron ko Duniya bhar ki kasmein Tum mile kho gaya Hai khudka hi pata Kya karun kya nahin Kuchh bas mein na raha Samjhun kaise koi samjhaye Dil kya kare jab kisi se Kisiko pyar ho jaye Jaane kahaan kab kisiko Kisi se pyar ho jaye Kisi se pyar ho jaye Kisi se pyar ho.. jaye
2,Laila Main Laila,Raees,Pawni Pandey,"Kalyanji-Anandji, Ram Sampath","Indeevar, Javed Akhtar", ,"Laila main laila, aisi hun laila Har koyi chahe muhjse milna akela Jisko bhi dekhun, duniya bhula dun Majnu bana doon, aisi main laila Ho yeh kaise hain lamhe Jo itne hasin hain Meri aankhein mujhse Yeh kya keh rahi hain Tum aa gaye ho (laila) Yakin kaise aaye (laila) Ke dil keh raha hai (laila) Tumhe choo ke dekhun Laila main laila, aisi hun laila Har koyi chahe muhjse milna akela"
3,The Humma Song,OK Jaanu,"Badshah, Jubin Nautiyal, Shashaa Tirupati",A. R. Rahman,Mehboob, ,"Ek ho gaye hum aur tum Humma, humma, humma Tu udd gayi nindein re Hey.. humma Ek ho gaye hum aur tum Tu udd gayi nindein re Aur khanki payal masti mein To kangan.. Yeh pehli baar mile Tum pe yeh dum nikle Tum pe yeh jawani dheere dheere Maddham machle re Humma humma, humma humma humma Hey humma humma, humma humma humma Mujhe dar iss baat ka hai bas Ki kahin na yeh raat nikal jaaye Meri itne bhi paas tu aa mat Kahin meri hathon se na baat nikal jaaye Bolunga sach mein jo de tu ijazat Sabar bhi ab karne laga bagawat Zulfein hai zalim aur aakhein hai aafat Lagta hai hone wali hai qayamat Mat tadpa aise tu Na kar na-insaafi Jo ghalti karne wala hoon main uske liye Pehle se hi mangta hoon maafi Khili chandini jaisa ye badan Janam mila tumko Man mein socha tha jaisa roop Tera aaya nazar humko Sitam khuli khuli yeh sanam gori gori Yeh baahein karti hain yoon Humein tumne jab gale lagaya to Kho hi gaye hum Humma humma, humma humma humma Hey humma humma, humma humma humma Ek ho gaye hum aur tum Humma, humma, humma Tu udd gayi nindein re Hey humma.. Humma.."
4,Idiot Banna,Dangal,"Jyoti Nooran, Sultana Nooran",Pritam,Amitabh Bhattacharya, ,"Main nai naweli aayi Main nai naweli aayi Sharmaai re, ghabraai re Main nai naweli aayi Main nai naweli aayi Saaton ajoobon se ajoobi yeh jodi Palle padi main jaake kiske nighodi (x2) Gift mein jaise mil jaave Langoor ko hira-panna Idiot hai mera banna (x4) Main boli banna manne kulla karade Jaake bazar se datoon la de Yeh jaake datoon ke badle Khet se laaya ganna Idiot, ho idiot Idiot hai mera banna (x4) Mera nau daandi ka bajna Ji mera nau daandi ka bajna Mere sasure ne diye padhwaye Jhanajhan jhanajhan Jhanajhan baaje bajna Ji mera nau daandi ka bajna Main boli banna manne picture dikha de Balcony ki do tho ticket kata de Haan main boli banna manne picture dikha de Balcony ki do tho ticket kata de Yoon to saara ke saara theatre tha khaali Banne ne ek ticket hi nikaali Bola ke interval tak dekh le tu Haan bola ke interval tak dekh le tu Interval ke aage ki main dekh loonga Ek ticket se kaam chale to do leke kya karna Idiot, ho idiot Idiot hai mera banna (x8)"
5,Haseeno Ka Deewana,Kaabil,"Raftaar, Payal Dev",Rajesh Roshan,"Anjaan, Kumaar", ,Kisi ko mera shauk hai Kisi ko mera hai nasha Jawani kehte hain mujhe Hain mere aashiq har jagah Kisi ko meri hasratein Kisi ki main hoon dilruba Mujhe paane ke vaste Maange dua Saara zamana haseeno ka deewana Zamana kahe phir kyun Bura hai dil lagana (x2) Saara zamana.. Yeh daur keh raha hai Tu aaj pyar karle Jo kabhi bhi khatm na ho Woh aitbar karle Kisi ko meri hasratein Kisi ki main hoon dilruba Mujhe paane ke vaste Maange dua Saara zamana haseeno ka deewana Zamana kahe phir kyun Bura hai dil lagana (x2) Saara zamana…
6,Naina,Dangal,Arijit Singh,Pritam,Amitabh Bhattacharya, ,"Jhoota jag rain basera Saancha dard mera Mrigtrishna sa moh piya Nata mera tera Naina, jo saanjhe khwaab dekhte the Naina, bichhad ke aaj ro diye hain yoon Naina, jo milke raat jaagte the Naina, sehar mein palkein meechte hain yoon Judaa huye kadam Jinhone li thi yeh kasam Milke chalenge hardum Ab baant-te hain yeh gham Bheege naina, jo khidkiyon se jhaankte the Naina, ghutan mein band ho gaye hainyoon Saans hairan hai, man pareshan hai Ho rahi si kyun ruansa yeh meri jaan hai Kyun nirasha se hai Aas haari hui Kyun sawalon ka utha sa Dil mein toofan hai Naina, the aasman ke sitare Naina, grahan mein aaj toot-te hain yoon Naina, kabhi jo dhoop senkte the Naina, thehar ke chhaon dhoondte hain yoon Judaa huye kadam Jinhone li thi yeh kasam Milke chalenge hardum Ab baant-te hain yeh gham Bheege naina, jo saanjhe khwaab dekhte the Naina, bichhad ke aaj ro diye hain yoon"
7,Ok Jaanu,Ok Jaanu,"A. R. Rahman, Srinidhi Venkatesh",A. R. Rahman,Gulzar, ,"Jaanu.. Chal na kuchh karte hain Aa lakeerein padhte hain Chal na kuchh karte hain Dheere dheere zara dum lena Pyar se jo mile gham lena Dil pe zara wo kamm lena Ok jaanu, tu dhin dhin na x (2) Kal ki beeti kal hui thi Aane wala kal bada hai Dil ne phir karwat li dekho Dil mein koi pal pada hai Dheere dheere zara dum lena Pyar se jo mile gham lena Dil pe zara wo kamm lena Ok jaanu, tu dhin dhin na Jaanu.. Chal na kuchh karte hain Aa lakeerein padhte hain Chal na kuchh karte hain Yeh aayu, yeh vayu Yeh mangal pe dangal Bali na kyun kisi se Tu lucky lagti hai Sabhi kuchh hai kanya lakiron mein Lekin agan to nahin hai Tu lucky lagti hai Dheere dheere zara dum lena Pyar se jo mile gham lena Dil pe zara wo kamm lena Ok jaanu, tu dhin dhin na x (2) Hey nasamajh si ek ladki Pure dil ki chor nikli De gayi maathe pe rakh ke Shaam ke suraj ki titli Dheere dheere zara dum lena Pyar se jo mile gham lena Dil pe zara wo kamm lena Ok jaanu, tu dhin dhin na Jaanu.. Chal na kuchh karte hain Aa lakeerein padhte hain Chal na kuchh karte hain Aa lakeerein padhte hain Jaanu.."
8,Dangal Title Song,Dangal,Daler Mehndi,Pritam Chakraborty,Amitabh Bhattacharya, ,"Re lath gaad doon Re jaada paad doon x (2) Maa ke pet se marghat tak hai Teri kahani pag pag pyare Dangal dangal ho Dangal dangal ho Suraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal ho Dangal dangal ho Maa ke pet se marghat tak hai Teri kahani pag pag pyare Dangal dangal ho Dangal dangal ho Suraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal ho Dangal dangal ho Dhadkanein chhaati mein Jab dubak jaati hain Peeth thapthapa unko phir jaga Baat ban jaati hai Baanwle hathi si Har chunauti hai re Saamne khadi, ghoor ke badi Aankh dikhlati hain to Aankh se uski aankh mila ke Bhid jaane ka naam hai pyare Dangal dangal hoye hoye Dangal dangal hoye hoye Suraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal hoye hoye Dangal dangal hoye hoye Re lath gaad doon Re jaada paad doon x (2) Thos majboot bharosa Apne sapnon pe karna Jitne munh utni baatein Gaur kitnon pe karna Aaj logon ki baari Jo kahein keh lene de Tera bhi din aayega Uss din hisab chuka ke rehna Arre bhedh ki hahakar ke badle Sher ki ek dahad hai pyare Dangal dangal hoye hoye Dangal dangal hoye hoye Suraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal hoye hoye Dangal dangal hoye hoye x (3) Re lath gaad doon Re jaada paad doon x (2) Kar dikhane ka mauka Jab bhi kismat deti hai Gin ke taiyari ke din Tujhko mohlat deti hai Maangti hai laagat mein Tujhse har boond pasina Par nafa badle mein Yeh jaan le behad deti hai Re bande ki mehnat ko kismat Kya saadar pranam hai pyare Dangal dangal hoye hoye Dangal dangal hoye hoye Suraj tera chadhta dhalta Gardish mein karte hain taare Dangal dangal hoye hoye Dangal dangal hoye hoye Dangal dangal"
9,Kaabil Hoon,Kaabil,"Jubin Nautiyal, Palak Muchhal",Rajesh Roshan,Nasir Faraaz, ,"Tere mere sapne sabhi Tere mere sapne sabhi Band aakhon ke taale mein hain Chaabhi kahan dhundhein bata Woh chaand ke pyale mein hai Phir bhi sapne kar dikhaoon sach To kehna bas yehi Main tere kaabil hoon ya Tere kaabil nahi x (2) Tere mere sapne sabhi Tere mere sapne sabhi Band aakhon ke taale mein hain Chaabhi kahan dhundhein bata Woh chaand ke pyale mein hai Phir bhi sapne kar dikhaoon sach To kehna bas yehi Main tere kaabil hoon ya Tere kaabil nahi x (2) Yeh shararatein, yeh mastiyan Apna yehi andaz hai Samjhayein kya kaise kahein Jeene ka haan ismein raaz hai Dhadkan kahan yeh dhadakti hai Dil mein teri awaaz hai Apni sab khushiyon ka ab to Yeh aaghaz hai Tere mere sapne sabhi Tere mere sapne sabhi Band aakhon ke taale mein hain Chaabhi kahan dhundhein bata Woh chaand ke pyale mein hai Phir bhi sapne kar dikhaoon sach To kehna bas yehi Main tere kaabil hoon ya Tere kaabil nahi x (2) Sagar ki reit pe dil ko jab Yeh banayengi meri ungliyan Tere naam ko hi pukar ke Khankengi meri choodiyan Tujhmein adaa aisi hai aaj Udti hon jaise titliyan Pheeki ab na hongi kabhi Yeh rangeeniyan Tere mere sapne sabhi Tere mere sapne sabhi Band aakhon ke taale mein hain Chaabhi kahan dhundhein bata Woh chaand ke pyale mein hai Phir bhi sapne kar dikhaoon sach To kehna bas yehi Main tere kaabil hoon ya Tere kaabil nahi x (2)"
