,Song,Movie,Singers,Musicians,Lyricists,Year,Lyrics
0,Dil Cheez Tujhe Dedi,Airlift,Arijit Singh,Ankit Tiwari,Kumaar, ,"Dil le duba duba mujhko Arabic aankhon mein Aaj loota loota mujhko Farebi baato ne x (2) Khamkha sa seene mein Pyar ke maheene mein Ek hi ishare pe Dil cheez tujhe dedi Dedi dedi, dil cheez yeh dedi Dedi dedi, dil cheez tujhe dedi Dedi haan, dedi dil cheez yeh dedi Dedi dedi, dil cheez tujhe dedi Dedi Mashallah tareefein mashallah Badi kambakht hai tu Habibi mast hai tu Wallah wallah adaaye wallah wallah Badi hi sakht hai tu Habibi mast hai tu Baar baar jo dekha, do dafa na socha Ek hi ishare pe dil cheez tujhe de di Dedi dedi, dil cheez yeh dedi Dedi dedi, dil cheez tujhe dedi Dedi haan, dedi dil cheez yeh dedi Dedi dedi, dil cheez tujhe dedi Dedi Zarra zarra kahe yeh zarra zarra Teri gustakh aakhein Kare bebaaq baatein Parda parda hata le parda parda Husn ke chaand dekhe Kai armaan leke ru-ba-ru jo tu aayi Dhadkan na sambhal paayi Ek hi ishare pe dil cheez tujhe de di Dedi dedi, dil cheez yeh dedi Dedi dedi, dil cheez tujhe dedi Dedi haan, dedi dil cheez yeh dedi Dedi dedi, dil cheez tujhe dedi Dedi"
1,Tu Bhoola Jise,Airlift,"KK, Amaal Maillik",Amaal Maillik,Kumaar, ,"Tu bhoola jise Tujhko wo yaad karta raha Tu jeeta raha Tere liye wo marta raha Tere dard ki aahat suni Lo aa gaya sab chodd ke Teri raah mein lekar khushi Wo hai khada har mod pe, sab chodd ke Tu bhoola jise Tujhko wo yaad karta raha Teri fiqar me ghuzarta raha Lamha dar lamha Tere sath dunia thi Wo raha tanha ka tanha Teri fiqar me ghuzarta raha Lamha dar lamha Tere sath dunia thi Wo raha tanha ka tanha Aansoo mile dekha tha jo Palkon ko bhi jod ke Teri raah mein lekar khushi Wo hai khada har mod pe, sab chodd ke Vande Mataram Vande Mataram Vande Mataram"
2,Mera Nachan Nu,Airlift,"Amaal Mallik, Divya Kumar, Brijesh Shandilya",Amaal Mallik,Kumaar, ,"Hanneryan de vich koyi roshni vi hovegi Hanjuan de vich koyi khushi vi hovegi Duaawan da safar, ummeedan da asar Rang lai ka aaya ae Rab ne sanu jindari wala rasta vikhaya ae Raat gayi din chadheya mitron Khushiyan ne hath phadeya mitron x (2) Dil chalangan maare jad-jad Dhol hai vajjda Aaj mera nachan nu Ho ho aaj mera nachan nu jee karda Ho aaj tera nachan nu jee karda Ho ho aaj mera nachan nu jee karda Ho aaj tera nachan nu jee karda Chhadd ke saareyan fikaran shikran Assi manuna jashn oh mitraan Aaj khushi vich bhangre panue ne Bin piye hi aaj dhul jaana Yaaro jag saara bhull jaana Masti de vich geet vi gaune ne Ho ho chaaron passe tumbi waala Shor hai machda Aaj mera nachan nu Ho ho aaj mera nachan nu jee karda Ho aaj tera nachan nu jee karda Ho ho aaj mera nachan nu jee karda Ho aaj tera nachan nu jee karda Assi ta ho gaye mast malang Saare dil masti vich rang Maujan vich jindri langh jaani ae Nachna ae bhaawan chak chak ke Koyi na bithega aaj thak ke Pairan de nal dharti hilani ae Ho ho lag gaye mele yaaran waale Hai shuqar rab da Aaj mera Ho ho aaj mera nachan nu jee karda Ho aaj tera nachan nu jee karda Ho ho aaj mera nachan nu jee karda Ho aaj tera nachan nu jee karda"
3,Sanam Teri Kasam,Sanam Teri Kasam,"Ankit Tiwari, Palak Muchhal",Himesh Reshammiya,Sameer Anjaan, ,Betahasha dil ne Tujhko hi chaha hai Har dua mein maine Tujhko hi manga hai Tera jana jaise koyi bad-dua Tera jana jaise koyi bad-dua Door jaoge jo tum mar jayenge hum Sanam teri kasam Ho sanam teri kasam Ho sanam teri kasam Nasha tera dil ko laga Dena nahin mujhko daga Main teri aadat ka maara Hai kya meri khata Tere bin naamumkin Apna ghuzara hai Har dua mein maine Tujhko hi manga hai Tera jana jaise koyi bad-dua Door jaoge jo tum mar jayenge hum Sanam teri kasam Ho sanam teri kasam Ho sanam teri kasam
4,Direct Ishq,Direct Ishq,"Swati Sharrma, Nakash Aziz, Arun Daga",Tanishk,A. M. Turaz, ,"Baayan dil baayan dil kaun jaani Dhakke mukke daily saala kaun khaaye Totally totally totally totally risk song Mind blowing song, direct ishq song Dekhte hi seedha uttha liya hai risk Ho gaya, ho gaya, ho gaya hai Direct ishq, direct ishq Husn ki light ne andha kar diya Dil ke ubaal ko thanda kar diya Udta phir dil yeh leke hath mein Apne he aap mein thanda kar liya Majnu ka chacha na bano raja Ishq nahin halwa haan haan haan Aashiq selection ladke election Jeetenge dekhna Ja ja mawaali doongi mein gaali Aashiq hai tu thalva Ho teri haar gali pyari hai saali Kha lenge dekhna Abhi to yeh pyaar ka pehla he stage hai Ho gaya, ho gaya, ho gaya hai Direct ishq, direct ishq Ishq ishq ishq ishq ishq ishq Tere style pe, is profile pe Ho gayi mein fida haan haan haan Ek shot cut se, dil ne bade vatt se Tujhko pata hi liya Feel zara cut kar, battein kar hat kar Aye sawan ki ghata Phodh gaya matka, pyaar ka phatka Khajoor pe latka Humko reject kiya teri ye mistake hai Aye aye you.. Ho gaya, ho gaya, ho gaya haan hai humko Direct ishq, direct ishq Ishq ishq ishq ishq ishq ishq Dekhte hi seedha uttha liya hai risk Dekhte hi seedha uttha liya hai risk Ho gaya, ho gaya yeah baby Direct, direct ishq, direct ishq Check kar lo"
5,Peene Ki Tamanna,Loveshhuda,"Vishal Dadlani, Parichay",Parichay,Kumaar, ,"Mere hath mein glass Teri aakhon mein sharab Thodi si pila ke Mujhe karle kharab x (2) Ho jaldi se pila de mainu Dance-vance vi karna hai Aaj phir, aaj phir Aaj phir peene ki tamanna hai Aaj phir peene ki tamanna hai Aaj phir peene ki tamanna hai Drunk, drunk, drunk get me Drunk, drunk, drunk I wanna get Drunk, drunk, drunk drunk, drunk Ho maine pee li do litre To nachcha main peekar Mere sath mein naachi re Wo stage pe stripper Dil bachelor piye regular Dil bachelor maange liquor Ho maine pee li do litre To nachcha main peekar Mere sath mein naachi re Wo stage pe stripper Iski blue blue eyes se mujhko Mota sa peg bharna hai Mota sa peg bharna hai Aaj aaj aaj aaj aaj aa aa aa Peene peene peene peene Pee pee pee peene Peene ki pee pee peene ki.. Peene ki tamanna hai x 5 Aaj phir peene ki tamanna hai Peene ki tamanna hai Aaj phir peene ki tamanna hai"
6,Jugni Unplugged,Jugni,"Javed Bashir, Neha Kakkar",Clinton Cerejo,Shellee, ,"Murshad manmarziyan Murshad manmarziyan, marziyan Dil arz kare te main amal Dil arz kare te main amal Ve main sadka kardi mauj da Ve main sadka kardi mauj da Hai mauj, hai mauj asal dar-asal Hai mauj asal dar-asal Mauj ki gullak marzi bugni Mauj ki gullak marzi bugni Barqat din ba din hoye dugni Saath mein sauda liye Jugni Tappe boliyan gidde Jugni Tappe boliyan gidde Jugni Tappe boliyan gidde Jugni Jugni, Jugni Baaje alhad naad salona Baaje alhad naad salona Man da khush khush boyi kona Barqat din ba din hoye doona Man da khush khush boyi kona Gad gad, gad phabbe Juggi Jag mag jugni, jag mag jugni Gad gad, gad phabbe Juggi Jag mag jugni, jag mag jugni Gad gad, gad phabbe Juggi Jag mag jugni, jag mag jugni Jag mag jugni haan jugni"
7,Sanam Re,Sanam Re,Arijit Singh,Mithoon,Mithoon, ,"Bheegi bheegi sadkon pe main Tera intezar karoon Dheere dheere dil ki zameen ko Tere hi naam karoon Khud ko main yun kho dun Ke phir na kabhi paaoon Haule haule zindagi ko Ab tere hawale karoon Sanam re, sanam re Tu mera sanam huva re Karam re, karam re Tera mujhpe karam huva re Badalon ki tarah hi to Toone mujh pe saya kiya hai Barishon ki tarah hi to Toone khushiyo se bhigaya hai Aandhiyon ki tarah hi to Toone hosh ko udaya hai Mera muqaddar sawara hai yu Naya savera jo laya hai tu Tere sang hi bitane hain mujhko Mere saare janam re Sanam re, sanam re, sanam re Tu mera sanam huva re Mere sanam re, mera huva re Tera karam re mujhpe huva yeh Mere sanam re, mera huva re Tera karam re mujhpe huva yeh"
8,Jawaani Le Doobi,Kyaa Kool Hain Hum 3,"Kanika Kapoor, Ankit Singh Patyal, Upinder Verma",Sajid-Wajid,Danish Sabri, ,"Oye hoye jawaani le doobi Aaye haaye jawaani le doobi Aaye haaye jawani le dubi Aaye haaye jawani le doobi Oye hoye jawaani le doobi Aaye haaye jawaani le doobi x (2) Jisko dekhoon uspe hi jaandi Chipak meri nazar Koyi new item mile Day night rehna hai fikar Ho dil bole mil jaake oye makhna, haaye Ho dil bole mil jaake oye makhna, haaye Tere husan ka zayaka hai chakhna Oye hoye jawaani le doobi Aaye haaye jawani le doobi x (2) Tera roop hi fi, main hu naughty boy Full night karenge enjoy Lowman pehan main lagoon good looking Chal ek dooje mein kho jaayein Tu ankhiyon ko kar zoom zoom Mere daayein baayein ghoom Apni nishachar nazro se Meri chikni qamar na choom Is dil ki dirty soch hai, haaye Is dil ki dirty soch hai Par dil ki sunoon to mauj hai Oye hoye jawaani le doobi Oye hoye jawani le doobi x (2) Oye hoye jawani le doobi Aaye haaye jawaani le doobi x (2)"
9,Tere Liye Mere Kareem,Wazir,"Gagan Baderiya, Prashant Pillai",Prashant Pillai,A. M. Turaz, ,"Tere liye mera Kareem Fana ho jism ki zameen Yehi hai mera yakin Banoon tera mujaahedeen Deen-e-haq hai tera deen Jaanashin jaanashin Tera deen, tera deen Tu hasin se hasin Main hakeer se hakeer Tere liye mera Kareem Fana ho jism ki zameen Yehi hai mera yakin Banoon tera mujaahedeen x (3) Tere liye ae mere yaar Yeh zindagi ka nissar Yeh dosti ka karz hai Yehi to mera farz hai Khud ko main fana karoon To haq tera adaa karoon Khudko main fana karoo Fana karoo Yeh sab se alaadin hai Yeh mera yakin hai Dil ishq-e-phidayin hai Tere liye mera Kareem Fana ho jism ki zameen Yehi hai mera yakin Banoon tera mujaahedeen x (3) Deen-e-haq tera"
